sim/none/none                                      Do nothing.
sim/operation/quit                                 Quit X-Plane.
sim/operation/screenshot                           Take a screenshot.
sim/operation/show_menu                            Show the in-sim menu.
sim/operation/make_current_aircraft_icons          (Re)generate all icons for the current aircraft.
sim/operation/make_single_icon                     (Re)generate the icon for the current aircraft & livery.
sim/operation/make_missing_icons                   Generate all missing aircraft & livery icons.
sim/operation/regen_weather                        Regenerate weather.
sim/operation/cycle_dump                           Print out a cycle dump for this frame.
sim/operation/stab_deriv_pitch                     Print longitudinal stability derivative.
sim/operation/stab_deriv_heading                   Print lateral stability derivative.
sim/operation/recording                            Toggle user interaction recording pane.
sim/operation/create_snap_marker                   Drop a snapshot marker for replay mode.
sim/operation/test_data_ref                        Test dataref: Run from 0 to 1 and back.
sim/operation/show_fps                             Toggle displaying the simulator's frames per second onscreen.
sim/operation/dev_console                          Toggle dev console.
sim/operation/toggle_full_screen                   Toggle full-screen mode.
sim/operation/reload_aircraft                      Force reloading the current aircraft.
sim/operation/reload_scenery                       Force reloading the current scenery.
sim/operation/load_real_weather                    Scan real weather files.
sim/operation/fail_system                          Fail selected in failures screen.
sim/operation/make_panel_previews                  Make screenshots of your panels.
sim/operation/close_windows                        Close any windows to get back to cockpit.
sim/operation/load_situation_1                     Load situation.
sim/operation/load_situation_2                     Load situation.
sim/operation/load_situation_3                     Load situation.
sim/view/track-ir_toggle                           Toggle TrackIR control.
sim/map/show_current                               Toggle the map window.
sim/map/show_instructor_operator_station           Toggle the instructor operator station (IOS) window.
sim/map/show_low_enroute                           Toggle the low enroute map.
sim/map/show_high_enroute                          Toggle the high enroute map.
sim/map/show_sectional                             Toggle the sectional map.
sim/operation/toggle_flight_config                 Toggle the Flight Configuration window.
sim/operation/toggle_main_menu                     Toggle the Main Menu screen.
sim/operation/toggle_settings_window               Toggle the Settings window.
sim/operation/toggle_flight_school_window          Toggle the Flight School window.
sim/operation/toggle_key_shortcuts_window          Toggle the Keyboard Shortcuts window.
sim/operation/open_weight_and_balance_window       Open the Weight & Balance window.
sim/operation/open_failures_window                 Open the Failures window.
sim/operation/toggle_data_output_graph             Toggle display of the data output graph.
sim/operation/toggle_joy_profiles_window           Toggle the keyboard & joystick profiles window.
sim/operation/toggle_style_guide                   Toggle display of the V11 UI style guide.
sim/operation/slider_01                            Slider #1 On/Off control.
sim/operation/slider_02                            Slider #2 On/Off control.
sim/operation/slider_03                            Slider #3 On/Off control.
sim/operation/slider_04                            Slider #4 On/Off control.
sim/operation/slider_05                            Slider #5 On/Off control.
sim/operation/slider_06                            Slider #6 On/Off control.
sim/operation/slider_07                            Slider #7 On/Off control.
sim/operation/slider_08                            Slider #8 On/Off control.
sim/operation/slider_09                            Slider #9 On/Off control.
sim/operation/slider_10                            Slider #10 On/Off control.
